Max: 42; Mean: 42; Variance: 0; Size: 1000; Time: 494.375 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 43; Mean: 43; Variance: 0; Size: 1000; Time: 510.744 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 44; Mean: 44; Variance: 0; Size: 1000; Time: 537.836 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 45; Mean: 45; Variance: 0; Size: 1000; Time: 546.296 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 6; Mean: 6; Variance: 0; Size: 1000; Time: 21.0057 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 8; Mean: 8; Variance: 0; Size: 1000; Time: 37.7074 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 10; Mean: 9.995; Variance: 0.004975; Size: 1000; Time: 64.1585 ms; Top5 histogram(relative to max) : 0 0 0 5 995 ;
Max: 12; Mean: 11.97; Variance: 0.0291; Size: 1000; Time: 93.1222 ms; Top5 histogram(relative to max) : 0 0 0 30 970 ;
Max: 14; Mean: 13.528; Variance: 0.257216; Size: 1000; Time: 131.103 ms; Top5 histogram(relative to max) : 0 0 4 464 532 ;
Max: 15; Mean: 14.883; Variance: 0.103311; Size: 1000; Time: 137.291 ms; Top5 histogram(relative to max) : 0 0 0 117 883 ;
Max: 17; Mean: 16.238; Variance: 0.275356; Size: 1000; Time: 170.03 ms; Top5 histogram(relative to max) : 0 0 47 668 285 ;
Max: 18; Mean: 17.593; Variance: 0.271351; Size: 1000; Time: 173.886 ms; Top5 histogram(relative to max) : 0 0 15 377 608 ;
Max: 20; Mean: 18.838; Variance: 0.201756; Size: 1000; Time: 217.227 ms; Top5 histogram(relative to max) : 0 0 195 772 33 ;
Max: 21; Mean: 20.026; Variance: 0.211324; Size: 1000; Time: 220.861 ms; Top5 histogram(relative to max) : 0 2 87 794 117 ;
Max: 22; Mean: 21.163; Variance: 0.220431; Size: 1000; Time: 229.148 ms; Top5 histogram(relative to max) : 0 0 42 753 205 ;
Max: 23; Mean: 22.291; Variance: 0.242319; Size: 1000; Time: 230.22 ms; Top5 histogram(relative to max) : 0 0 18 673 309 ;
Max: 24; Mean: 23.427; Variance: 0.270671; Size: 1000; Time: 236.421 ms; Top5 histogram(relative to max) : 0 0 13 547 440 ;
Max: 25; Mean: 24.54; Variance: 0.2584; Size: 1000; Time: 251.562 ms; Top5 histogram(relative to max) : 0 0 5 450 545 ;
Max: 26; Mean: 25.639; Variance: 0.236679; Size: 1000; Time: 262.852 ms; Top5 histogram(relative to max) : 0 0 3 355 642 ;
Max: 27; Mean: 26.698; Variance: 0.216796; Size: 1000; Time: 275.469 ms; Top5 histogram(relative to max) : 0 0 3 296 701 ;
Max: 28; Mean: 27.739; Variance: 0.192879; Size: 1000; Time: 276.781 ms; Top5 histogram(relative to max) : 0 0 0 261 739 ;
Max: 29; Mean: 28.815; Variance: 0.154775; Size: 1000; Time: 297.953 ms; Top5 histogram(relative to max) : 0 0 2 181 817 ;
Max: 30; Mean: 29.838; Variance: 0.135756; Size: 1000; Time: 309.598 ms; Top5 histogram(relative to max) : 0 0 0 162 838 ;
Max: 31; Mean: 30.876; Variance: 0.108624; Size: 1000; Time: 335.799 ms; Top5 histogram(relative to max) : 0 0 0 124 876 ;
Max: 32; Mean: 31.899; Variance: 0.090799; Size: 1000; Time: 325.731 ms; Top5 histogram(relative to max) : 0 0 0 101 899 ;
Max: 33; Mean: 32.928; Variance: 0.066816; Size: 1000; Time: 341.521 ms; Top5 histogram(relative to max) : 0 0 0 72 928 ;
Max: 34; Mean: 33.926; Variance: 0.068524; Size: 1000; Time: 354.294 ms; Top5 histogram(relative to max) : 0 0 0 74 926 ;
Max: 35; Mean: 34.948; Variance: 0.049296; Size: 1000; Time: 365.455 ms; Top5 histogram(relative to max) : 0 0 0 52 948 ;
Max: 36; Mean: 35.954; Variance: 0.043884; Size: 1000; Time: 381.876 ms; Top5 histogram(relative to max) : 0 0 0 46 954 ;
Max: 37; Mean: 36.972; Variance: 0.027216; Size: 1000; Time: 388.899 ms; Top5 histogram(relative to max) : 0 0 0 28 972 ;
Max: 38; Mean: 37.975; Variance: 0.024375; Size: 1000; Time: 403.235 ms; Top5 histogram(relative to max) : 0 0 0 25 975 ;
Max: 39; Mean: 38.98; Variance: 0.0196; Size: 1000; Time: 422.612 ms; Top5 histogram(relative to max) : 0 0 0 20 980 ;
Max: 40; Mean: 39.976; Variance: 0.023424; Size: 1000; Time: 437.102 ms; Top5 histogram(relative to max) : 0 0 0 24 976 ;
Max: 41; Mean: 40.986; Variance: 0.013804; Size: 1000; Time: 444.947 ms; Top5 histogram(relative to max) : 0 0 0 14 986 ;
Max: 42; Mean: 41.992; Variance: 0.007936; Size: 1000; Time: 456.296 ms; Top5 histogram(relative to max) : 0 0 0 8 992 ;
Max: 43; Mean: 42.987; Variance: 0.012831; Size: 1000; Time: 472.17 ms; Top5 histogram(relative to max) : 0 0 0 13 987 ;
Max: 44; Mean: 43.989; Variance: 0.010879; Size: 1000; Time: 491.371 ms; Top5 histogram(relative to max) : 0 0 0 11 989 ;
Max: 45; Mean: 44.989; Variance: 0.010879; Size: 1000; Time: 500.753 ms; Top5 histogram(relative to max) : 0 0 0 11 989 ;
Max: 46; Mean: 45.994; Variance: 0.005964; Size: 1000; Time: 519.275 ms; Top5 histogram(relative to max) : 0 0 0 6 994 ;
Max: 47; Mean: 46.996; Variance: 0.003984; Size: 1000; Time: 536.638 ms; Top5 histogram(relative to max) : 0 0 0 4 996 ;
Max: 48; Mean: 47.992; Variance: 0.007936; Size: 1000; Time: 548.415 ms; Top5 histogram(relative to max) : 0 0 0 8 992 ;
Max: 49; Mean: 48.998; Variance: 0.001996; Size: 1000; Time: 580.764 ms; Top5 histogram(relative to max) : 0 0 0 2 998 ;
Max: 7; Mean: 7; Variance: 0; Size: 1000; Time: 27.7086 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 9; Mean: 9; Variance: 0; Size: 1000; Time: 51.0032 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 12; Mean: 11.245; Variance: 0.184975; Size: 1000; Time: 99.379 ms; Top5 histogram(relative to max) : 0 0 0 755 245 ;
Max: 14; Mean: 13.71; Variance: 0.2059; Size: 1000; Time: 122.978 ms; Top5 histogram(relative to max) : 0 0 0 290 710 ;
Max: 16; Mean: 15.651; Variance: 0.239199; Size: 1000; Time: 155.727 ms; Top5 histogram(relative to max) : 0 0 6 337 657 ;
Max: 18; Mean: 17.366; Variance: 0.306044; Size: 1000; Time: 184.029 ms; Top5 histogram(relative to max) : 0 0 37 560 403 ;
Max: 19; Mean: 18.769; Variance: 0.187639; Size: 1000; Time: 186.639 ms; Top5 histogram(relative to max) : 0 0 5 221 774 ;
Max: 21; Mean: 20.252; Variance: 0.304496; Size: 1000; Time: 227.886 ms; Top5 histogram(relative to max) : 0 0 58 632 310 ;
Max: 22; Mean: 21.613; Variance: 0.275231; Size: 1000; Time: 229.472 ms; Top5 histogram(relative to max) : 0 0 19 349 632 ;
Max: 24; Mean: 22.991; Variance: 0.312919; Size: 1000; Time: 269.07 ms; Top5 histogram(relative to max) : 0 4 149 699 148 ;
Max: 25; Mean: 24.317; Variance: 0.332511; Size: 1000; Time: 268.709 ms; Top5 histogram(relative to max) : 0 0 58 567 375 ;
Max: 27; Mean: 25.631; Variance: 0.360839; Size: 1000; Time: 306.435 ms; Top5 histogram(relative to max) : 0 20 373 563 44 ;
Max: 28; Mean: 26.909; Variance: 0.362719; Size: 1000; Time: 310.534 ms; Top5 histogram(relative to max) : 0 8 207 653 132 ;
Max: 30; Mean: 28.149; Variance: 0.394799; Size: 1000; Time: 353.114 ms; Top5 histogram(relative to max) : 2 124 601 269 4 ;
Max: 31; Mean: 29.355; Variance: 0.366975; Size: 1000; Time: 359.085 ms; Top5 histogram(relative to max) : 0 60 534 397 9 ;
Max: 32; Mean: 30.559; Variance: 0.406519; Size: 1000; Time: 359.996 ms; Top5 histogram(relative to max) : 0 40 401 519 40 ;
Max: 33; Mean: 31.688; Variance: 0.350656; Size: 1000; Time: 370.628 ms; Top5 histogram(relative to max) : 0 16 332 600 52 ;
Max: 34; Mean: 32.82; Variance: 0.3336; Size: 1000; Time: 375.003 ms; Top5 histogram(relative to max) : 0 13 234 673 80 ;
Max: 35; Mean: 33.913; Variance: 0.339431; Size: 1000; Time: 384.728 ms; Top5 histogram(relative to max) : 0 8 193 677 122 ;
Max: 36; Mean: 35.01; Variance: 0.3539; Size: 1000; Time: 394.565 ms; Top5 histogram(relative to max) : 0 9 145 673 173 ;
Max: 37; Mean: 36.134; Variance: 0.312044; Size: 1000; Time: 406.018 ms; Top5 histogram(relative to max) : 0 0 98 670 232 ;
Max: 38; Mean: 37.215; Variance: 0.340775; Size: 1000; Time: 415.108 ms; Top5 histogram(relative to max) : 0 3 77 622 298 ;
Max: 39; Mean: 38.318; Variance: 0.332876; Size: 1000; Time: 431.268 ms; Top5 histogram(relative to max) : 0 3 49 575 373 ;
Max: 40; Mean: 39.372; Variance: 0.325616; Size: 1000; Time: 435.744 ms; Top5 histogram(relative to max) : 0 1 43 539 417 ;
Max: 41; Mean: 40.429; Variance: 0.322959; Size: 1000; Time: 448.097 ms; Top5 histogram(relative to max) : 0 1 36 496 467 ;
Max: 42; Mean: 41.492; Variance: 0.297936; Size: 1000; Time: 469.714 ms; Top5 histogram(relative to max) : 0 0 24 460 516 ;
Max: 43; Mean: 42.536; Variance: 0.290704; Size: 1000; Time: 476.24 ms; Top5 histogram(relative to max) : 0 0 21 422 557 ;
Max: 44; Mean: 43.587; Variance: 0.270431; Size: 1000; Time: 484.972 ms; Top5 histogram(relative to max) : 0 0 14 385 601 ;
Max: 45; Mean: 44.644; Variance: 0.245264; Size: 1000; Time: 497.887 ms; Top5 histogram(relative to max) : 0 0 8 340 652 ;
Max: 46; Mean: 45.664; Variance: 0.245104; Size: 1000; Time: 511.675 ms; Top5 histogram(relative to max) : 0 0 11 314 675 ;
Max: 47; Mean: 46.745; Variance: 0.195975; Size: 1000; Time: 528.344 ms; Top5 histogram(relative to max) : 0 0 3 249 748 ;
Max: 48; Mean: 47.768; Variance: 0.182176; Size: 1000; Time: 541.047 ms; Top5 histogram(relative to max) : 0 0 2 228 770 ;
Max: 49; Mean: 48.798; Variance: 0.163196; Size: 1000; Time: 556.975 ms; Top5 histogram(relative to max) : 0 0 1 200 799 ;
Max: 50; Mean: 49.792; Variance: 0.178736; Size: 1000; Time: 570.514 ms; Top5 histogram(relative to max) : 0 0 7 194 799 ;
Max: 51; Mean: 50.821; Variance: 0.148959; Size: 1000; Time: 589.115 ms; Top5 histogram(relative to max) : 0 0 1 177 822 ;
Max: 52; Mean: 51.829; Variance: 0.147759; Size: 1000; Time: 603.143 ms; Top5 histogram(relative to max) : 0 0 3 165 832 ;
Max: 53; Mean: 52.864; Variance: 0.117504; Size: 1000; Time: 621.376 ms; Top5 histogram(relative to max) : 0 0 0 136 864 ;
Max: 54; Mean: 53.862; Variance: 0.122956; Size: 1000; Time: 628.825 ms; Top5 histogram(relative to max) : 0 0 2 134 864 ;
Max: 8; Mean: 8; Variance: 0; Size: 1000; Time: 37.4782 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 10; Mean: 10; Variance: 0; Size: 1000; Time: 62.5777 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 13; Mean: 12.53; Variance: 0.2491; Size: 1000; Time: 106.573 ms; Top5 histogram(relative to max) : 0 0 0 470 530 ;
Max: 15; Mean: 14.936; Variance: 0.059904; Size: 1000; Time: 131.08 ms; Top5 histogram(relative to max) : 0 0 0 64 936 ;
Max: 18; Mean: 17.415; Variance: 0.304775; Size: 1000; Time: 196.116 ms; Top5 histogram(relative to max) : 0 0 31 523 446 ;
Max: 21; Mean: 19.976; Variance: 1.07742; Size: 1000; Time: 244.62 ms; Top5 histogram(relative to max) : 0 26 473 0 501 ;
